parsed_date,date_str,btc_price,fgi_value,fgi_class,btc_return,Elite Pro,Pro,dumb_buy_ratio,smart_buy_ratio,Whale Retail / Losing,fgi_value_lag,smart_buy_ratio_lag,dumb_buy_ratio_lag,pos_contrarian_ls,pos_contrarian_lo,pos_smart_ls,pos_smart_lo,pos_fade_dumb_ls,pos_fade_dumb_lo,ret_benchmark,ret_contrarian_ls,ret_smart_ls,ret_fade_dumb_ls,ret_contrarian_lo,ret_smart_lo,ret_fade_dumb_lo,cum_benchmark,cum_contrarian_ls,cum_smart_ls,cum_fade_dumb_ls,cum_contrarian_lo,cum_smart_lo,cum_fade_dumb_lo
2024-01-01,2024-01-01,42633.0,65.0,Greed,0.013303776428103875,,,0.5,0.5555555555555556,,68.0,0.5,0.5,0,0,0,1,0,0,0.013303776428103875,0.0,0.0,0.0,0.0,0.013303776428103875,0.0,1.018308193902046,0.9757511541632947,0.978841665635442,1.0,1.0,1.016062083117933,1.0
2024-01-02,2024-01-02,43349.25,71.0,Greed,0.0168003659137288,,,0.5,0.5294117647058824,,65.0,0.5555555555555556,0.5,0,0,1,1,0,0,0.0168003659137288,0.0,0.0168003659137288,0.0,0.0,0.0168003659137288,0.0,1.0354161441725487,0.9757511541632947,0.9952865637897211,1.0,1.0,1.0331322979053799,1.0
2024-01-03,2024-01-03,43349.25,70.0,Greed,0.0,,,0.5,0.47761194029850745,,71.0,0.5294117647058824,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0354161441725487,0.9757511541632947,0.9952865637897211,1.0,1.0,1.0331322979053799,1.0
2024-01-04,2024-01-04,43349.25,68.0,Greed,0.0,,,0.5,0.4,,70.0,0.47761194029850745,0.5,-1,0,-1,0,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0354161441725487,0.9757511541632947,0.9952865637897211,1.0,1.0,1.0331322979053799,1.0
2024-01-05,2024-01-05,43683.2,72.0,Greed,0.007703708830025802,,,0.5,0.4696969696969697,,68.0,0.4,0.5,0,0,-1,0,0,0,0.007703708830025802,0.0,-0.007703708830025802,0.0,0.0,0.0,0.0,1.043392688665162,0.9757511541632947,0.9876191658998482,1.0,1.0,1.0331322979053799,1.0
2024-01-06,2024-01-06,43761.0,70.0,Greed,0.0017810050545747913,,,0.5,0.5,,72.0,0.4696969696969697,0.5,-1,0,-1,0,0,0,0.0017810050545747913,-0.0017810050545747913,-0.0017810050545747913,0.0,0.0,0.0,0.0,1.0452509763175812,0.9740133364257227,0.9858602111733856,1.0,1.0,1.0331322979053799,1.0
2024-01-07,2024-01-07,44078.0,71.0,Greed,0.00724389296405481,,,0.5,0.5360824742268041,,70.0,0.5,0.5,-1,0,0,1,0,0,0.00724389296405481,-0.00724389296405481,0.0,0.0,0.0,0.00724389296405481,0.0,1.0528226625105996,0.966957688071093,0.9858602111733856,1.0,1.0,1.0406161976891144,1.0
2024-01-08,2024-01-08,44484.439024390245,71.0,Greed,0.009220904405604635,,,0.5,0.3125,,71.0,0.5360824742268041,0.5,-1,0,1,1,0,0,0.009220904405604635,-0.009220904405604635,0.009220904405604635,0.0,0.0,0.009220904405604635,0.0,1.062530639637664,0.9580414636651249,0.9949507339379046,1.0,1.0,1.0502116201709295,1.0
2024-01-09,2024-01-09,46877.65,76.0,Extreme Greed,0.05379883456094814,,,0.5,0.4,,71.0,0.3125,0.5,-1,0,-1,0,0,0,0.05379883456094814,-0.05379883456094814,-0.05379883456094814,0.0,0.0,0.0,0.0,1.119693549735469,0.9064999494588762,0.9414235440064853,1.0,1.0,1.0502116201709295,1.0
2024-01-10,2024-01-10,46379.4375,73.0,Greed,-0.010627932500882675,,,0.5,0.47668393782383417,,76.0,0.4,0.5,-1,0,-1,0,0,0,-0.010627932500882675,0.010627932500882675,0.010627932500882675,-0.0,-0.0,-0.0,-0.0,1.1077935222672066,0.9161341697337787,0.951428929886928,1.0,1.0,1.0502116201709295,1.0
2024-01-11,2024-01-11,46358.2,76.0,Extreme Greed,-0.0004579076665170989,,,1.0,0.5789473684210527,,73.0,0.47668393782383417,0.5,-1,0,-1,0,0,0,-0.0004579076665170989,0.0004579076665170989,0.0004579076665170989,-0.0,-0.0,-0.0,-0.0,1.1072862551204425,0.916553674593658,0.9518645964880692,1.0,1.0,1.0502116201709295,1.0
2024-01-12,2024-01-12,46403.333333333336,71.0,Greed,0.0009735782091051526,,,0.5,0.7142857142857143,,76.0,0.5789473684210527,1.0,-1,0,1,1,-1,0,0.0009735782091051526,-0.0009735782091051526,0.0009735782091051526,-0.0009735782091051526,0.0,0.0009735782091051526,0.0,1.1083642848896695,0.9156613379085984,0.9527913111172287,0.9990264217908948,1.0,1.051234083319277,1.0
2024-01-13,2024-01-13,46403.333333333336,71.0,Greed,0.0,,,0.5,0.5,,71.0,0.7142857142857143,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1083642848896695,0.9156613379085984,0.9527913111172287,0.9990264217908948,1.0,1.051234083319277,1.0
2024-01-14,2024-01-14,46403.333333333336,71.0,Greed,0.0,,,0.5,0.5,,71.0,0.5,0.5,-1,0,0,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1083642848896695,0.9156613379085984,0.9527913111172287,0.9990264217908948,1.0,1.051234083319277,1.0
2024-01-15,2024-01-15,42354.8,52.0,Neutral,-0.08724660584728106,,,0.0,1.0,,71.0,0.5,0.5,-1,0,0,1,0,0,-0.08724660584728106,0.08724660584728106,-0.0,-0.0,-0.0,-0.08724660584728106,-0.0,1.011663262990697,0.995549681746704,0.9527913111172287,0.9990264217908948,1.0,0.9595174775986922,1.0
2024-01-16,2024-01-16,42968.0,64.0,Greed,0.014477697923257704,,,0.6666666666666666,0.0,,52.0,1.0,0.0,0,0,1,1,1,1,0.014477697923257704,0.0,0.014477697923257704,0.014477697923257704,0.0,0.014477697923257704,0.014477697923257704,1.0263098181123336,0.995549681746704,0.9665855359034886,1.0134900245429364,1.0,0.9734090817914522,1.0144776979232577
2024-01-17,2024-01-17,42527.24,60.0,Greed,-0.01025786631912129,,,0.5,0.5849056603773585,,64.0,0.0,0.6666666666666666,0,0,-1,0,-1,0,-0.01025786631912129,-0.0,0.01025786631912129,0.01025786631912129,-0.0,-0.0,-0.0,1.0157820691961357,0.995549681746704,0.9765006411167828,1.0238862697304607,1.0,0.9734090817914522,1.0144776979232577
2024-01-18,2024-01-18,42704.56,63.0,Greed,0.004169562849599462,,,0.5,0.391304347826087,,60.0,0.5849056603773585,0.5,0,0,1,1,0,0,0.004169562849599462,0.0,0.004169562849599462,0.0,0.0,0.004169562849599462,0.0,1.020017436375145,0.995549681746704,0.9805722219125934,1.0238862697304607,1.0,0.9774677721363526,1.0144776979232577
2024-01-19,2024-01-19,41075.6,51.0,Neutral,-0.038144872585035405,,,0.5,0.6458333333333334,,63.0,0.391304347826087,0.5,0,0,-1,0,0,0,-0.038144872585035405,-0.0,0.038144872585035405,-0.0,-0.0,-0.0,-0.0,0.9811090012301007,0.995549681746704,1.0179760243778742,1.0238862697304607,1.0,0.9774677721363526,1.0144776979232577
2024-01-20,2024-01-20,41699.885714285716,52.0,Neutral,0.015198456365475232,,,0.5,0.5660377358490566,,51.0,0.6458333333333334,0.5,0,0,1,1,0,0,0.015198456365475232,0.0,0.015198456365475232,0.0,0.0,0.015198456365475232,0.0,0.9960203435750714,0.995549681746704,1.0334476885654813,1.0238862697304607,1.0,0.9923237734198253,1.0144776979232577
2024-01-21,2024-01-21,41615.2,56.0,Greed,-0.00203083804272175,,,0.5,0.2727272727272727,,52.0,0.5660377358490566,0.5,0,0,1,1,0,0,-0.00203083804272175,-0.0,-0.00203083804272175,-0.0,-0.0,-0.00203083804272175,-0.0,0.9939975875700143,0.995549681746704,1.0313489236843796,1.0238862697304607,1.0,0.9903085245500671,1.0144776979232577
2024-01-22,2024-01-22,41446.416666666664,55.0,Greed,-0.004055809736186133,,,0.5,0.6,,56.0,0.2727272727272727,0.5,0,0,-1,0,0,0,-0.004055809736186133,-0.0,0.004055809736186133,-0.0,-0.0,-0.0,-0.0,0.9899661224766023,0.995549681746704,1.035531878690464,1.0238862697304607,1.0,0.9903085245500671,1.0144776979232577
2024-01-23,2024-01-23,39563.692307692305,50.0,Neutral,-0.04542550382862276,,,0.5,0.7333333333333333,,55.0,0.6,0.5,0,0,1,1,0,0,-0.04542550382862276,-0.0,-0.04542550382862276,-0.0,-0.0,-0.04542550382862276,-0.0,0.9449964125898346,0.995549681746704,0.9884923213703494,1.0238862697304607,1.0,0.9453232608766003,1.0144776979232577
2024-01-24,2024-01-24,39803.851851851854,48.0,Neutral,0.00607020048310436,,,0.5,0.39705882352941174,,50.0,0.7333333333333333,0.5,0,1,1,1,0,0,0.00607020048310436,0.0,0.00607020048310436,0.0,0.00607020048310436,0.00607020048310436,0.0,0.9507327302700693,0.995549681746704,0.9944926679370766,1.0238862697304607,1.0060702004831044,0.9510615625914632,1.0144776979232577
2024-01-25,2024-01-25,39803.851851851854,52.0,Neutral,0.0,,,0.5,0.0,,48.0,0.39705882352941174,0.5,0,1,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.9507327302700693,0.995549681746704,0.9944926679370766,1.0238862697304607,1.0060702004831044,0.9510615625914632,1.0144776979232577
2024-01-26,2024-01-26,39803.851851851854,49.0,Neutral,0.0,,,0.5,0.8,,52.0,0.0,0.5,0,0,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.9507327302700693,0.995549681746704,0.9944926679370766,1.0238862697304607,1.0060702004831044,0.9510615625914632,1.0144776979232577
2024-01-27,2024-01-27,39803.851851851854,49.0,Neutral,0.0,,,0.5,0.5,,49.0,0.8,0.5,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507327302700693,0.995549681746704,0.9944926679370766,1.0238862697304607,1.0060702004831044,0.9510615625914632,1.0144776979232577
2024-01-28,2024-01-28,39803.851851851854,54.0,Neutral,0.0,,,0.0,0.5,,49.0,0.5,0.5,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507327302700693,0.995549681746704,0.9944926679370766,1.0238862697304607,1.0060702004831044,0.9510615625914632,1.0144776979232577
2024-01-29,2024-01-29,41974.730769230766,55.0,Greed,0.054539418080914004,,,0.5,0.28378378378378377,,54.0,0.5,0.0,0,0,0,1,1,1,0.054539418080914004,0.0,0.0,0.054539418080914004,0.0,0.054539418080914004,0.054539418080914004,1.0025851401294774,0.995549681746704,0.9944926679370766,1.0797284310625979,1.0060702004831044,1.0029319067743263,1.0698067212240574
2024-01-30,2024-01-30,43245.9,61.0,Greed,0.030284154477556724,,,0.5,0.5714285714285714,,55.0,0.28378378378378377,0.5,0,0,-1,0,0,0,0.030284154477556724,0.0,-0.030284154477556724,0.0,0.0,0.0,0.0,1.0329475833900614,0.995549681746704,0.9643752983544727,1.0797284310625979,1.0060702004831044,1.0029319067743263,1.0698067212240574
2024-01-31,2024-01-31,43429.36229205176,60.0,Greed,0.004242304867091651,,,0.5,0.5471478463329453,,61.0,0.5714285714285714,0.5,0,0,1,1,0,0,0.004242304867091651,0.0,0.004242304867091651,0.0,0.0,0.004242304867091651,0.0,1.0373296619505277,0.995549681746704,0.9684664723763848,1.0797284310625979,1.0060702004831044,1.0071866496837965,1.0698067212240574
2024-02-01,2024-02-01,43429.36229205176,63.0,Greed,0.0,,,0.5,1.0,,60.0,0.5471478463329453,0.5,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0373296619505277,0.995549681746704,0.9684664723763848,1.0797284310625979,1.0060702004831044,1.0071866496837965,1.0698067212240574
2024-02-02,2024-02-02,43024.57142857143,63.0,Greed,-0.009320672515479522,,,0.5,0.4523809523809524,,63.0,1.0,0.5,0,0,1,1,0,0,-0.009320672515479522,-0.0,-0.009320672515479522,-0.0,-0.0,-0.009320672515479522,-0.0,1.0276610518808937,0.995549681746704,0.9594397135451429,1.0797284310625979,1.0060702004831044,0.9977989927601308,1.0698067212240574
2024-02-03,2024-02-03,43090.0,60.0,Greed,0.0015207256982721074,,,0.5,0.32142857142857145,,63.0,0.4523809523809524,0.5,0,0,-1,0,0,0,0.0015207256982721074,0.0,-0.0015207256982721074,0.0,0.0,0.0,0.0,1.0292238424516023,0.995549681746704,0.957980668916812,1.0797284310625979,1.0060702004831044,0.9977989927601308,1.0698067212240574
2024-02-04,2024-02-04,42993.444444444445,60.0,Greed,-0.002240788014749473,,,0.5,0.5428571428571428,,60.0,0.32142857142857145,0.5,0,0,-1,0,0,0,-0.002240788014749473,-0.0,0.002240788014749473,-0.0,-0.0,-0.0,-0.0,1.0269175700009423,0.995549681746704,0.9601273005180825,1.0797284310625979,1.0060702004831044,0.9977989927601308,1.0698067212240574
2024-02-05,2024-02-05,42653.48,60.0,Greed,-0.007907355384929482,,,0.5,0.4583333333333333,,60.0,0.5428571428571428,0.5,0,0,1,1,0,0,-0.007907355384929482,-0.0,-0.007907355384929482,-0.0,-0.0,-0.007907355384929482,-0.0,1.0187973678239166,0.995549681746704,0.952535232738113,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-06,2024-02-06,42688.411214953274,64.0,Greed,0.0008189534582705438,,,0.5,0.47610294117647056,,60.0,0.4583333333333333,0.5,0,0,-1,0,0,0,0.0008189534582705438,0.0,-0.0008189534582705438,0.0,0.0,0.0,0.0,1.0196317154515728,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-07,2024-02-07,42688.411214953274,62.0,Greed,0.0,,,0.5,0.4666666666666667,,64.0,0.47610294117647056,0.5,0,0,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0196317154515728,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-08,2024-02-08,42688.411214953274,66.0,Greed,0.0,,,0.5,0.2,,62.0,0.4666666666666667,0.5,0,0,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0196317154515728,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-09,2024-02-09,42688.411214953274,66.0,Greed,0.0,,,0.5,0.5,,66.0,0.2,0.5,0,0,-1,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0196317154515728,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-10,2024-02-10,42688.411214953274,66.0,Greed,0.0,,,0.5,0.5,,66.0,0.5,0.5,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196317154515728,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,0.9899090415216518,1.0698067212240574
2024-02-11,2024-02-11,48177.5,71.0,Greed,0.1285849866233475,,,0.5,0.6764705882352942,,66.0,0.5,0.5,0,0,0,1,0,0,0.1285849866233475,0.0,0.0,0.0,0.0,0.1285849866233475,0.0,1.1507410459436542,0.995549681746704,0.9517551507151376,1.0797284310625979,1.0060702004831044,1.1171964823840441,1.0698067212240574
2024-02-12,2024-02-12,49886.11111111111,70.0,Greed,0.035464918501605824,,,0.5,0.6875,,71.0,0.6764705882352942,0.5,-1,0,1,1,0,0,0.035464918501605824,-0.035464918501605824,0.035464918501605824,0.0,0.0,0.035464918501605824,0.0,1.1915519833544985,0.9602425934192576,0.9855090695687335,1.0797284310625979,1.0060702004831044,1.156817764582075,1.0698067212240574
2024-02-13,2024-02-13,49886.11111111111,79.0,Extreme Greed,0.0,,,0.5,0.0,,70.0,0.6875,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1915519833544985,0.9602425934192576,0.9855090695687335,1.0797284310625979,1.0060702004831044,1.156817764582075,1.0698067212240574
2024-02-14,2024-02-14,49666.833333333336,74.0,Greed,-0.0043955676819421585,,,0.5,0.3063063063063063,,79.0,0.0,0.5,-1,0,-1,0,0,0,-0.0043955676819421585,0.0043955676819421585,0.0043955676819421585,-0.0,-0.0,-0.0,-0.0,1.1863144359651114,0.9644634047297155,0.9898409413851906,1.0797284310625979,1.0060702004831044,1.156817764582075,1.0698067212240574
2024-02-15,2024-02-15,52118.0,72.0,Greed,0.04935218338193481,,,0.5,0.8253968253968254,,74.0,0.3063063063063063,0.5,-1,0,-1,0,0,0,0.04935218338193481,-0.04935218338193481,-0.04935218338193481,0.0,0.0,0.0,0.0,1.2448616435574982,0.9168650299143294,0.9409901297270017,1.0797284310625979,1.0060702004831044,1.156817764582075,1.0698067212240574
2024-02-16,2024-02-16,52037.0,72.0,Greed,-0.0015541655474116123,,,0.5,0.6318681318681318,,72.0,0.8253968253968254,0.5,-1,0,1,1,0,0,-0.0015541655474116123,0.0015541655474116123,-0.0015541655474116123,-0.0,-0.0,-0.0015541655474116123,-0.0,1.242926922479787,0.9182899899554487,0.9395276752869256,1.0797284310625979,1.0060702004831044,1.155019878267728,1.0698067212240574
2024-02-17,2024-02-17,51884.0,76.0,Extreme Greed,-0.0029402156158118142,,,0.5,0.5319148936170213,,72.0,0.6318681318681318,0.5,-1,0,1,1,0,0,-0.0029402156158118142,0.0029402156158118142,-0.0029402156158118142,-0.0,-0.0,-0.0029402156158118142,-0.0,1.239272449332999,0.9209899605237595,0.9367652613445596,1.0797284310625979,1.0060702004831044,1.1516238707850721,1.0698067212240574
2024-02-18,2024-02-18,51884.0,72.0,Greed,0.0,,,0.5,0.3917525773195876,,76.0,0.5319148936170213,0.5,-1,0,1,1,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.239272449332999,0.9209899605237595,0.9367652613445596,1.0797284310625979,1.0060702004831044,1.1516238707850721,1.0698067212240574
2024-02-19,2024-02-19,52122.5,75.0,Extreme Greed,0.004596792845578568,,,0.5,0.40594059405940597,,72.0,0.3917525773195876,0.5,-1,0,-1,0,0,0,0.004596792845578568,-0.004596792845578568,-0.004596792845578568,0.0,0.0,0.0,0.0,1.2449691280618156,0.9167563604623742,0.9324591454932244,1.0797284310625979,1.0060702004831044,1.1516238707850721,1.0698067212240574
